"census_tract_code","year","arrests_B","arrests_W","arrests_total","state","county","ct_pop","ct_white","ct_black","pct_white","pct_black","arrest_pct_tot","arrest_pct_B","arrest_pct_W","pop_pct_tot","pop_pct_B","pop_pct_W","sir_tot","sir_B","sir_W","RE_tot","RE_B","RE_W"
10800,2010,76,103,181,37,129,2885,1388,665,0.481109185,0.2305026,100,42.0209828823854,56.9298729983435,6.27361269973311,11.4268531047963,7.42021468193934,0.100004276328368,1.00815519823695,3.38554530300792,0.538090586662292,-0.0840666964650154,0.624716460704803
10800,2011,58,126,185,37,129,2760,1355,649,0.490942029,0.235144928,100,31.3884386817936,68.1253376553214,6.7026557008804,8.93544908334617,9.29820677440779,0.100004181455355,0.788323623224099,4.24206536973912,0.140407457947731,0.142275989055634,0.273491442203522
10800,2012,81,133,216,37,129,2259,1387,540,0.61398849,0.239043825,100,37.5289217954651,61.591855622397,9.56132973307954,14.9972227365303,9.58834979453536,0.100003995918629,1.32279751311331,4.37476794939813,0.893594563007355,0.254959911108017,1.16360008716583
10800,2013,60,114,174,37,129,2420,1698,275,0.701652893,0.113636364,100,34.5203905801264,65.5370476737507,7.18978554605182,21.8102508178844,6.71338554855427,0.100003448349434,1.92104596283199,3.06484651196527,1.21962678432465,2.18069052696228,1.28724789619446
10800,2014,56,112,168,37,129,2153,1431,330,0.664653971,0.153274501,100,33.372992266508,66.686496133254,7.80270307928104,16.9645561950924,7.82614771853819,0.100002962101699,1.49494459811512,3.57110119314584,-0.780091464519501,-1.18190169334412,-0.433818012475967
10800,2015,29,99,132,37,129,2497,1769,304,0.70845014,0.121746095,100,22.0287660862983,75.0189250567752,5.2861319130191,9.53633673133838,5.59606579616754,0.100002699225246,0.840187624276957,2.55502874469684,0.477461010217667,-0.443585097789764,0.450000613927841
10800,2016,56,126,188,37,129,2699,1781,414,0.659874027,0.153390144,100,29.8245614035088,67.0388091440723,6.96528472453781,13.5233035498672,7.07427993936331,0.100004155347874,1.19226829380384,3.2300006256489,0.878656804561615,0.724194943904877,1.03547644615173
10800,2017,52,132,185,37,129,2644,1775,425,0.671331316,0.160741301,100,28.1469475958941,71.366828741221,6.99670965545933,12.2324159021407,7.43620077742099,0.100004005713029,1.07851118870476,3.39521899016041,0.785279810428619,-0.444691926240921,1.06832242012024
10800,2018,61,165,233,37,129,2907,1817,558,0.625043,0.191950464,100,26.2119262119262,70.8279708279708,8.0148601699288,10.9299408708117,9.08040283968962,0.100005546865133,0.964096766020631,4.14616953431436,-1.20535504817963,-1.55408895015717,-0.886026918888092
10900,2010,24,69,94,37,129,2163,1990,65,0.920018493,0.030050855,100,25.6110520722636,73.432518597237,4.34561508945495,36.8663594470046,3.46716245414803,0.100001665064367,3.21771649938128,1.58346670652082,-2.34694600105286,-1.1789653301239,-2.08744144439697
